nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
150000271;CTRE MEDICO-CHIRURGICAL DE TRONQUIERES;05705;Tomographe à émissions;842609815;84-83-75952;84-83-75952;2022-02-23;150780732;2024-09-23
180000887;HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242609482;24-24-72176;24-24-72176;2019-10-11;180004145;2022-01-06
180000887;HOPITAL PRIVE GUILLAUME DE VARYE;05705;Tomographe à émissions;242609483;24-24-1409;24-24-1409;2010-02-05;180004145;2012-02-01
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609489;27-26-35561;27-26-35561;2010-12-24;210987517;2011-03-28
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609491;27-26-35652;27-26-35652;2006-12-14;210987517;2007-07-05
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05705;Tomographe à émissions;272609492;27-26-59735;27-26-59735;2016-06-29;210987517;2017-01-30
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05705;Tomographe à émissions;272609493;27-26-59292;27-26-59292;2016-03-31;210987731;2017-08-01
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609494;27-26-35558;27-26-35558;2005-03-25;210987731;2005-03-25
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05702;Caméra à scintillation avec détecteur d'émission de positons;272609495;27-26-35656;27-26-35656;2008-11-19;210987731;2010-02-19
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05705;Tomographe à émissions;272609496;27-26-35565;27-26-35565;2010-08-26;210987731;2011-09-29
210780417;CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609497;27-26-35559;27-26-35559;2010-07-23;210987731;2011-07-18
220000020;CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609498;53-53-1098;53-53-1098;2005-02-08;220000012;2005-09-09
220000020;CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609499;53-53-1099;53-53-1099;2005-02-08;220000012;2005-09-09
220025167;GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532609500;53-53-1231;53-53-1231;2008-11-27;220025175;2012-06-28
220025167;GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532609813;53-53-76613;53-53-76613;2022-03-04;220025175;2024-09-09
240018424;TEPSCAN-FRANCHEVILLE;05705;Tomographe à émissions;752609501;75-72-74928;75-72-74928;2018-03-27;240018465;2022-11-29
250000643;SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272609507;27-43-35643;27-43-35643;2001-12-03;250000270;2001-12-03
250000643;SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272609508;27-43-35732;27-43-35732;2003-12-15;250000270;2006-04-07
250000015;CHU BESANCON;05705;Tomographe à émissions;272609502;27-43-35631;27-43-35631;2001-03-29;250006954;2003-04-15
250000015;CHU BESANCON;05705;Tomographe à émissions;272609503;27-43-71571;27-43-71571;2019-07-25;250006954;2020-10-26
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609504;27-43-35729;27-43-35729;2010-02-24;250006954;2011-02-18
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609505;27-43-35637;27-43-35637;2003-12-15;250006954;2016-05-30
250000015;CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272609506;27-43-35641;27-43-35641;2003-12-15;250006954;2003-12-15
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609509;84-82-1839;84-82-1839;2002-11-13;260000013;2005-10-05
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609510;84-82-1820;84-82-1820;2004-11-11;260000013;2006-01-03
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609511;84-82-1838;84-82-1838;2000-12-27;260000013;2002-02-04
260000021;CH DE VALENCE;05705;Tomographe à émissions;842609512;84-82-1760;84-82-1760;2004-10-13;260000013;2009-05-25
260000021;CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609513;84-82-1819;84-82-1819;2004-11-10;260000013;2005-07-16
260000021;CH DE VALENCE;05705;Tomographe à émissions;842609817;84-82-75951;84-82-75951;2022-02-23;260000013;
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609516;53-53-1119;53-53-1119;2003-02-04;290000058;2007-03-08
290000017;CHRU BREST;05705;Tomographe à émissions;532609514;53-53-1052;53-53-1052;2001-08-02;290004324;2003-01-30
290000017;CHRU BREST;05705;Tomographe à émissions;532609515;53-53-52508;53-53-52508;2014-11-27;290004324;2015-02-27
290000017;CHRU BREST;05705;Tomographe à émissions;532609517;53-53-72614;53-53-72614;2019-11-28;290004324;2024-01-17
290000017;CHRU BREST;44901;Caisson hyperbare;532609518;53-53-1108;53-53-1108;1998-06-06;290004324;1998-07-22
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609519;53-53-73764;53-53-73764;2020-05-29;290004324;2021-12-07
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609520;53-53-1124;53-53-1124;2008-04-01;290004324;2008-07-18
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609521;53-53-1083;53-53-1083;2001-01-12;290004324;2003-04-18
290000017;CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532609522;53-53-1395;53-53-1395;2010-05-06;290004324;2011-02-09
290021963;CENTRE DE MEDECINE NUCLEAIRE;05705;Tomographe à émissions;532609523;53-53-68519;53-53-68519;2018-12-27;290017979;2021-02-08
290021963;CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609524;53-53-1117;53-53-1117;2005-07-05;290017979;2007-03-06
290021963;CENTRE DE MEDECINE NUCLEAIRE;05705;Tomographe à émissions;532609525;53-53-47150;53-53-47150;2012-11-30;290017979;2014-09-10
290021963;CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609526;53-53-76856;53-53-76856;2022-11-22;290017979;2023-01-31
290021963;CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609527;53-53-1118;53-53-1118;2005-07-05;290017979;2007-02-12
2A0000014;CENTRE HOSPITALIER D'AJACCIO;05701;Caméra à scintillation sans détecteur d'émission de positons;942609528;94-94-45201;94-94-45201;2006-10-31;2A0005468;2013-12-11
2A0000014;CENTRE HOSPITALIER D'AJACCIO;05701;Caméra à scintillation sans détecteur d'émission de positons;942609529;94-94-35947;94-94-35947;1995-06-30;2A0005468;1999-03-22
2B0001358;SARL CORSCINTIGRAPHIE;05701;Caméra à scintillation sans détecteur d'émission de positons;942609530;94-94-35955;94-94-35955;2004-04-27;2B0003008;2007-03-16
2B0001358;SARL CORSCINTIGRAPHIE;05701;Caméra à scintillation sans détecteur d'émission de positons;942609818;94-94-76967;94-94-76967;2022-12-13;2B0003008;2024-01-15
300780038;CHU NIMES;05602;Scanographe à utilisation médicale;762609531;76-91-59787;76-91-59787;2016-07-28;300782117;2016-10-19
300780038;CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762609532;76-91-1082;76-91-1082;2007-05-23;300782117;2007-06-26
300780038;CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762609533;76-91-71291;76-91-71291;2019-06-28;300782117;2021-10-20
300780038;CHU NIMES;05602;Scanographe à utilisation médicale;762609534;76-91-1078;76-91-1078;2007-06-27;300782117;2009-03-17
300780038;CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762609535;76-91-1047;76-91-1047;2007-05-23;300782117;2009-05-05
310781406;CHU TOULOUSE;44901;Caisson hyperbare;762609536;76-73-1072;76-73-1072;2006-05-28;310783048;2007-05-28
330052309;SAS SCANNER POLYCLINIQUE BX RIVE DROIT;05602;Scanographe à utilisation médicale;752609541;75-72-46887;75-72-46887;2013-06-20;330058447;2015-10-23
330029539;SAS DE L'IRM SAINT AUGUSTIN;06201;Appareil d'IRM à utilisation clinique;752609539;75-72-41697;75-72-41697;2010-10-18;330060468;2012-08-14
330029539;SAS DE L'IRM SAINT AUGUSTIN;06201;Appareil d'IRM à utilisation clinique;752609540;75-72-71083;75-72-71083;2019-05-28;330060468;2022-01-03
330804030;SA TDMR D'AQUITAINE;05602;Scanographe à utilisation médicale;752609547;75-72-35865;75-72-35865;2007-03-27;330060476;2007-08-07
330804030;SA TDMR D'AQUITAINE;05602;Scanographe à utilisation médicale;752609545;75-72-35771;75-72-35771;2005-05-03;330060518;2009-06-20
330022658;SCM IMAGERIE CLINIQUE DU SPORT;05602;Scanographe à utilisation médicale;752609537;75-72-77641;75-72-77641;2023-04-24;330060526;2023-09-04
330029489;SARL DU SCANNER DE SAINT MARTIN;05602;Scanographe à utilisation médicale;752609538;75-72-35761;75-72-35761;2010-10-18;330060559;2011-10-07
330804030;SA TDMR D'AQUITAINE;06201;Appareil d'IRM à utilisation clinique;752609546;75-72-35850;75-72-35850;2008-04-08;330060567;2008-07-21
330804030;SA TDMR D'AQUITAINE;06201;Appareil d'IRM à utilisation clinique;752609548;75-72-76408;75-72-76408;2021-12-17;330060567;2022-06-02
330060849;GROUPEMENT IRM 3T BORDEAUX RIVE DROITE;06201;Appareil d'IRM à utilisation clinique;752609542;75-72-72173;75-72-72173;2019-05-24;330060856;2019-11-04
750810814;SERVICE DE SANTE DES ARMEES;06201;Appareil d'IRM à utilisation clinique;112609734;75-72-46681;75-72-46681;2013-04-02;330781303;2013-04-02
750810814;SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112609735;75-72-46682;75-72-46682;2013-04-02;330781303;2013-04-02
330781196;CHU DE BORDEAUX;05705;Tomographe à émissions;752609544;75-72-75769;75-72-75769;2021-12-17;330781337;2022-02-16
330781196;CHU DE BORDEAUX;44901;Caisson hyperbare;752609543;75-72-45424;75-72-45424;2004-04-06;330781360;2007-04-19
350023503;CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609553;53-53-1065;53-53-1065;2001-06-25;350002812;2003-05-06
350023503;CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609554;53-53-1080;53-53-1080;2003-09-15;350002812;2003-09-15
350023503;CENTRE REGIONAL DE LUTTE CONTRE CANCER;05701;Caméra à scintillation sans détecteur d'émission de positons;532609555;53-53-1085;53-53-1085;2004-02-03;350002812;2007-10-26
350023503;CENTRE REGIONAL DE LUTTE CONTRE CANCER;05705;Tomographe à émissions;532609556;53-53-1235;53-53-1235;1998-12-29;350002812;2004-05-25
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609549;53-53-73767;53-53-73767;2020-05-29;350033148;2022-09-01
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609550;53-53-1050;53-53-1050;2000-12-29;350033148;2001-03-01
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05705;Tomographe à émissions;532609551;53-53-1233;53-53-1233;2017-06-30;350033148;2007-12-10
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609552;53-53-1084;53-53-1084;2017-04-11;350033148;2006-09-25
350039863;GCS CIMCE;05705;Tomographe à émissions;532609557;53-53-72076;53-53-72076;2019-10-08;350039871;2024-09-10
350039863;GCS CIMCE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609558;53-53-73768;53-53-73768;2020-05-29;350039871;2021-09-13
350039863;GCS CIMCE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609559;53-53-1236;53-53-1236;2004-02-03;350039871;2005-10-12
350039863;GCS CIMCE;05705;Tomographe à émissions;532609560;53-53-76869;53-53-76869;2022-11-28;350039871;2023-07-10
350050522;GIE IMAGER;05705;Tomographe à émissions;532609563;53-53-52512;53-53-52512;2014-11-27;350050530;2017-02-22
350050522;GIE IMAGER;05705;Tomographe à émissions;532609561;53-53-68520;53-53-68520;2018-12-27;350053203;2019-05-06
350050522;GIE IMAGER;05705;Tomographe à émissions;532609562;53-53-74142;53-53-74142;2020-11-09;350053203;2022-09-16
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609820;53-53-77005;53-53-77005;2022-12-29;350056446;
350050522;GIE IMAGER;05705;Tomographe à émissions;532609822;53-53-77073;53-53-77073;2022-12-29;350056453;
380780080;CHU GRENOBLE ALPES;05705;Tomographe à émissions;842609567;84-82-1732;84-82-1732;2001-04-05;380000067;2002-10-24
380780080;CHU GRENOBLE ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842609568;84-82-1815;84-82-1815;2004-05-12;380000067;2017-12-13
380780080;CHU GRENOBLE ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842609569;84-82-1816;84-82-1816;2004-05-13;380000067;2017-12-13
380780080;CHU GRENOBLE ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842609570;84-82-1835;84-82-1835;2008-03-12;380000067;2001-01-30
380780080;CHU GRENOBLE ALPES;05701;Caméra à scintillation sans détecteur d'émission de positons;842609571;84-82-1860;84-82-1860;2007-07-11;380000067;2008-02-07
380780080;CHU GRENOBLE ALPES;05705;Tomographe à émissions;842609823;84-82-75950;84-82-75950;2022-02-23;380000067;
380006338;SELARL SCINTEP;05705;Tomographe à émissions;842609564;84-82-1784;84-82-1784;2006-12-13;380802900;2009-01-12
380006338;SELARL SCINTEP;05701;Caméra à scintillation sans détecteur d'émission de positons;842609565;84-82-1837;84-82-1837;2005-11-09;380802900;2005-08-23
380006338;SELARL SCINTEP;05701;Caméra à scintillation sans détecteur d'émission de positons;842609566;84-82-1836;84-82-1836;1998-12-28;380802900;1999-10-28
690055850;SAS VASELINA;05701;Caméra à scintillation sans détecteur d'émission de positons;842609572;27-43-35739;27-43-35739;2004-06-21;390003739;2009-03-09
390007920;CENTRE MEDICAL MOBILE;05602;Scanographe à utilisation médicale;272609573;27-43-71140;27-43-71140;2019-05-22;390007938;2020-06-23
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609575;84-82-50758;84-82-50758;2014-05-19;420002651;2014-09-29
420018814;SAS COMAPIX;05705;Tomographe à émissions;842609578;84-82-70215;84-82-70215;2019-02-27;420002651;2025-08-25
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609579;84-82-1801;84-82-1801;2005-11-09;420002651;2007-02-09
420784878;CHU DE SAINT-ETIENNE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609582;84-82-4738;84-82-4738;1993-10-04;420785354;1997-04-15
420784878;CHU DE SAINT-ETIENNE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609583;84-82-65470;84-82-65470;2017-06-30;420785354;2017-11-22
420784878;CHU DE SAINT-ETIENNE;05705;Tomographe à émissions;842609584;84-82-1730;84-82-1730;2003-07-04;420785354;2017-06-06
420784878;CHU DE SAINT-ETIENNE;05701;Caméra à scintillation sans détecteur d'émission de positons;842609585;84-82-4734;84-82-4734;1992-11-16;420785354;1993-09-01
420784878;CHU DE SAINT-ETIENNE;05705;Tomographe à émissions;842609825;84-82-70356;84-82-70356;2019-03-21;420785354;
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609576;84-82-1864;84-82-1864;2006-12-13;420790024;2007-06-20
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609577;84-82-1818;84-82-1818;2001-12-31;420790024;2005-06-13
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609580;84-82-1866;84-82-1866;2006-12-13;420790024;2007-06-20
420018814;SAS COMAPIX;05705;Tomographe à émissions;842609581;84-82-4166;84-82-4166;2007-07-11;420790024;2008-07-02
420018814;SAS COMAPIX;05701;Caméra à scintillation sans détecteur d'émission de positons;842609574;84-83-35927;84-83-35927;2009-04-22;430008573;2009-04-22
420018814;SAS COMAPIX;05705;Tomographe à émissions;842609824;84-83-77678;84-83-77678;2022-02-23;430008573;2026-01-13
470000324;CENTRE HOSPITALIER;05602;Scanographe à utilisation médicale;752609586;75-72-35889;75-72-35889;2004-04-06;470000431;2005-10-18
470000324;CENTRE HOSPITALIER;05602;Scanographe à utilisation médicale;752609826;75-72-77600;75-72-77600;2023-05-30;470000431;
490000031;CHU ANGERS;44901;Caisson hyperbare;522609587;52-52-913;52-52-913;2008-06-10;490000049;2009-06-10
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609589;53-53-1058;53-53-1058;1999-06-04;560009839;2003-06-17
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609591;53-53-73766;53-53-73766;2020-05-29;560009839;2020-11-02
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05705;Tomographe à émissions;532609593;53-53-1106;53-53-1106;2006-01-31;560009839;2011-02-18
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609594;53-53-1240;53-53-1240;1997-12-08;560009839;2023-10-17
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05705;Tomographe à émissions;532609828;53-53-77534;53-53-77534;2023-05-09;560009839;
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05705;Tomographe à émissions;532609588;53-53-53072;53-53-53072;2015-03-17;560026700;2018-03-13
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609590;53-53-1116;53-53-1116;2007-04-11;560026700;2007-09-06
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609592;53-53-1056;53-53-1056;2000-09-06;560026700;2009-03-11
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05701;Caméra à scintillation sans détecteur d'émission de positons;532609814;53-53-76911;53-53-76911;2022-11-28;560026700;2024-02-14
560003337;CENTRE DE MEDECINE NUCLEAIRE MORBIHAN;05705;Tomographe à émissions;532609827;53-53-77533;53-53-77533;2023-05-09;560026700;
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532609819;53-53-77003;53-53-77003;2022-12-29;560031163;2025-07-08
350004354;SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05705;Tomographe à émissions;532609821;53-53-77004;53-53-77004;2022-12-29;560031163;2025-07-08
750810814;SERVICE DE SANTE DES ARMEES;06201;Appareil d'IRM à utilisation clinique;112609736;44-41-47856;44-41-47856;2013-04-02;570000596;2013-04-02
750810814;SERVICE DE SANTE DES ARMEES;05602;Scanographe à utilisation médicale;112609737;44-41-47857;44-41-47857;2013-04-02;570000596;2013-04-02
580780039;CHI AGGLOMERATION DE NEVERS;05701;Caméra à scintillation sans détecteur d'émission de positons;272609595;27-26-35659;27-26-35659;2005-03-25;580972693;2007-03-11
580780039;CHI AGGLOMERATION DE NEVERS;05705;Tomographe à émissions;272609596;27-26-35657;27-26-35657;2006-01-31;580972693;2008-05-21
580780039;CHI AGGLOMERATION DE NEVERS;05701;Caméra à scintillation sans détecteur d'émission de positons;272609597;27-26-35658;27-26-35658;2006-12-14;580972693;2006-12-14
590780334;CLCC OSCAR LAMBRET LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609633;32-31-1173;32-31-1173;2003-03-18;590000188;2004-11-26
590780334;CLCC OSCAR LAMBRET LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609634;32-31-1177;32-31-1177;2003-12-17;590000188;2004-09-18
590780334;CLCC OSCAR LAMBRET LILLE;05705;Tomographe à émissions;322609635;32-31-1293;32-31-1293;1999-12-30;590000188;2001-03-20
590782215;CH DE  VALENCIENNES;05705;Tomographe à émissions;322609636;32-31-46719;32-31-46719;2013-01-14;590000618;2013-12-26
590782215;CH DE  VALENCIENNES;05701;Caméra à scintillation sans détecteur d'émission de positons;322609637;32-31-53248;32-31-53248;2008-01-01;590000618;2008-01-01
590782215;CH DE  VALENCIENNES;05701;Caméra à scintillation sans détecteur d'émission de positons;322609638;32-31-64055;32-31-64055;2017-04-07;590000618;2021-04-05
590782215;CH DE  VALENCIENNES;05701;Caméra à scintillation sans détecteur d'émission de positons;322609639;32-31-1224;32-31-1224;1999-12-30;590000618;2001-05-31
590782215;CH DE  VALENCIENNES;05705;Tomographe à émissions;322609640;32-31-1214;32-31-1214;2003-02-17;590000618;2006-10-06
590035929;SA NUCLERIDIS DUNKERQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609607;32-31-1202;32-31-1202;2004-06-15;590035978;2005-01-15
590035929;SA NUCLERIDIS DUNKERQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609608;32-31-1201;32-31-1201;2002-07-09;590035978;2004-09-23
590055802;GIE TEP GAMMA DES FLANDRES;05705;Tomographe à émissions;322609619;32-31-49093;32-31-49093;2013-11-08;590055810;2017-04-12
590055802;GIE TEP GAMMA DES FLANDRES;05702;Caméra à scintillation avec détecteur d'émission de positons;322609620;32-31-49094;32-31-49094;2013-12-17;590055810;2017-04-12
590006045;SCM CLINIQUE RADIOLOGIQUE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;322609598;32-31-1287;32-31-1287;1999-12-30;590061834;2000-03-01
590006045;SCM CLINIQUE RADIOLOGIQUE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;322609599;32-31-1286;32-31-1286;1997-11-07;590061834;2001-10-11
590006359;SCP DES MEDECINS - CIN LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609600;32-31-1299;32-31-1299;2001-12-18;590061842;2004-04-21
590006359;SCP DES MEDECINS - CIN LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609601;32-31-1298;32-31-1298;1999-09-21;590061842;2000-02-16
590006409;GIE IMAGERIE MÉDICALE DU DOUAISIS;05705;Tomographe à émissions;322609602;32-31-75175;32-31-75175;2019-04-16;590061867;2021-07-12
590041638;GIE NORD TEP;05705;Tomographe à émissions;322609609;32-31-1401;32-31-1401;2005-02-02;590061958;2003-09-17
590045167;C.I.N SAMBRE AVESNOIS;05705;Tomographe à émissions;322609610;32-31-75328;32-31-75328;2019-04-16;590061974;2022-01-20
590045167;C.I.N SAMBRE AVESNOIS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609611;32-31-1435;32-31-1435;2007-02-27;590061974;2011-01-03
590045167;C.I.N SAMBRE AVESNOIS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609612;32-31-1436;32-31-1436;2007-02-27;590061974;2011-01-03
590047452;GIE TEP DE L'UNION;05705;Tomographe à émissions;322609613;32-31-42684;32-31-42684;2009-09-16;590062006;2009-09-16
590047460;GIE NORD EST IMAGERIE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609614;32-31-1226;32-31-1226;1901-01-01;590062014;2001-06-23
590047460;GIE NORD EST IMAGERIE;05702;Caméra à scintillation avec détecteur d'émission de positons;322609615;32-31-1949;32-31-1949;2009-06-16;590062014;2010-03-01
590054185;GIE HUMANITEP;05705;Tomographe à émissions;322609616;32-31-47767;32-31-47767;2013-01-14;590062071;2014-07-16
590054185;GIE HUMANITEP;05706;Caméra à positons;322609617;32-31-71016;32-31-71016;2019-04-16;590062071;2020-08-05
590054185;GIE HUMANITEP;05701;Caméra à scintillation sans détecteur d'émission de positons;322609618;32-31-76653;32-31-76653;2022-10-11;590062071;2023-01-02
590035085;SCM HERMEUGOZ;05702;Caméra à scintillation avec détecteur d'émission de positons;322609603;32-31-45378;32-31-45378;2013-01-14;590062097;2013-07-26
590035085;SCM HERMEUGOZ;05701;Caméra à scintillation sans détecteur d'émission de positons;322609604;32-31-1294;32-31-1294;1999-12-30;590062097;2001-06-19
590035085;SCM HERMEUGOZ;05705;Tomographe à émissions;322609605;32-31-70743;32-31-70743;2019-04-16;590062097;2020-09-15
590035085;SCM HERMEUGOZ;05701;Caméra à scintillation sans détecteur d'émission de positons;322609606;32-31-1292;32-31-1292;2002-07-09;590062097;2003-09-16
590051801;GCS GHICL DES HOPITAUX DE L'ICL;05602;Scanographe à utilisation médicale;322609829;32-31-75615;32-31-75615;2021-12-21;590780284;2019-05-19
590780193;CHU DE LILLE;05705;Tomographe à émissions;322609811;32-31-70744;32-31-70744;2019-04-16;590796975;2024-01-30
590780193;CHU DE LILLE;05705;Tomographe à émissions;322609621;32-31-45385;32-31-45385;2013-01-14;590796975;2015-12-21
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609622;32-31-1229;32-31-1229;1997-11-03;590796975;1997-11-03
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609623;32-31-1136;32-31-1136;1999-12-30;590796975;2000-06-09
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609624;32-31-1195;32-31-1195;2001-12-18;590796975;2002-10-17
590780193;CHU DE LILLE;44901;Caisson hyperbare;322609625;32-31-1210;32-31-1210;1998-03-03;590796975;1998-11-10
590780193;CHU DE LILLE;44901;Caisson hyperbare;322609626;32-31-1211;32-31-1211;1998-03-03;590796975;1998-11-10
590780193;CHU DE LILLE;44901;Caisson hyperbare;322609627;32-31-1212;32-31-1212;1998-03-03;590796975;1998-11-10
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609628;32-31-1232;32-31-1232;1997-11-03;590796975;1998-11-03
590780193;CHU DE LILLE;44901;Caisson hyperbare;322609629;32-31-1235;32-31-1235;2007-02-27;590796975;2007-05-31
590782421;C.H DE ROUBAIX;05706;Caméra à positons;322609831;32-31-70748;32-31-70748;2019-04-16;590801106;
590782421;C.H DE ROUBAIX;05705;Tomographe à émissions;322609832;32-31-76842;32-31-76842;2022-10-27;590801106;
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609630;32-31-1241;32-31-1241;1999-12-30;590811279;2000-11-10
590780193;CHU DE LILLE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609631;32-31-1240;32-31-1240;1997-11-03;590811279;2007-11-08
590780193;CHU DE LILLE;05602;Scanographe à utilisation médicale;322609830;32-31-76845;32-31-76845;2022-10-27;590811279;
590780193;CHU DE LILLE;05705;Tomographe à émissions;322609632;32-31-1466;32-31-1466;2005-02-02;590811279;2009-02-13
600100713;CENTRE HOSPITALIER DE BEAUVAIS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609644;32-22-70354;32-22-70354;2019-03-20;600000194;2021-10-26
600100713;CENTRE HOSPITALIER DE BEAUVAIS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609645;32-22-649;32-22-649;2007-09-10;600000194;2008-09-12
600012835;CIRIOS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609643;32-22-43827;32-22-43827;1997-05-20;600005409;1999-01-14
600012835;CIRIOS;05705;Tomographe à émissions;322609641;32-22-631;32-22-631;2004-02-27;600005409;2021-09-06
